Paper, Formula, Formula-with value, GATEScore
AR, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.1 - 35.16529901797646 ) / ( 68.433 - 35.16529901797646  ) ) ) ) , 349
AR, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.16529901797646 - 35.16529901797646 ) / ( 68.433 - 35.16529901797646  ) ) ) ) , 350
BT, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 37.4 - 37.492421731634835 ) / ( 76.632 - 37.492421731634835  ) ) ) ) , 349
BT, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 37.492421731634835 - 37.492421731634835 ) / ( 76.632 - 37.492421731634835  ) ) ) ) , 350
CH, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 44.3 - 44.300270816326346 ) / ( 87.02133333333333 - 44.300270816326346  ) ) ) ) , 350
CH, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 44.300270816326346 - 44.300270816326346 ) / ( 87.02133333333333 - 44.300270816326346  ) ) ) ) , 350
CY, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 60.916250000000005 - 25.0  ) ) ) ) , 350
CY, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 60.916250000000005 - 25.0  ) ) ) ) , 350
EC, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 68.93859154929577 - 25.0  ) ) ) ) , 350
EC, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 68.93859154929577 - 25.0  ) ) ) ) , 350
GG, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.3 - 33.33102714194684 ) / ( 71.234 - 33.33102714194684  ) ) ) ) , 350
GG, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.33102714194684 - 33.33102714194684 ) / ( 71.234 - 33.33102714194684  ) ) ) ) , 350
IN, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 34.0 - 34.0353190939371 ) / ( 82.82076923076923 - 34.0353190939371  ) ) ) ) , 350
IN, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 34.0353190939371 - 34.0353190939371 ) / ( 82.82076923076923 - 34.0353190939371  ) ) ) ) , 350
MA, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 53.43300000000001 - 25.0  ) ) ) ) , 350
MA, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 53.43300000000001 - 25.0  ) ) ) ) , 350
ME, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.4 - 30.421555695694952 ) / ( 83.83748691099476 - 30.421555695694952  ) ) ) ) , 350
ME, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.421555695694952 - 30.421555695694952 ) / ( 83.83748691099476 - 30.421555695694952  ) ) ) ) , 350
MN, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.8 - 30.824239782182083 ) / ( 61.43400000000001 - 30.824239782182083  ) ) ) ) , 350
MN, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.824239782182083 - 30.824239782182083 ) / ( 61.43400000000001 - 30.824239782182083  ) ) ) ) , 350
PE, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 50.8 - 50.88061522911269 ) / ( 82.133 - 50.88061522911269  ) ) ) ) , 349
PE, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 50.88061522911269 - 50.88061522911269 ) / ( 82.133 - 50.88061522911269  ) ) ) ) , 350
PH, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 28.6 - 28.692718262092292 ) / ( 67.16666666666667 - 28.692718262092292  ) ) ) ) , 349
PH, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 28.692718262092292 - 28.692718262092292 ) / ( 67.16666666666667 - 28.692718262092292  ) ) ) ) , 350
AE, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 57.96500000000001 - 25.0  ) ) ) ) , 350
AE, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 57.96500000000001 - 25.0  ) ) ) ) , 350
AG, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 54.534000000000006 - 25.0  ) ) ) ) , 350
AG, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 54.534000000000006 - 25.0  ) ) ) ) , 350
CS, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 73.90371134020619 - 25.0  ) ) ) ) , 350
CS, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 73.90371134020619 - 25.0  ) ) ) ) , 350
CE, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.8 - 25.870939335219212 ) / ( 77.19738461538462 - 25.870939335219212  ) ) ) ) , 349
CE, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.870939335219212 - 25.870939335219212 ) / ( 77.19738461538462 - 25.870939335219212  ) ) ) ) , 350
EE, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 69.18093220338983 - 25.0  ) ) ) ) , 350
EE, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 25.0 - 25.0 ) / ( 69.18093220338983 - 25.0  ) ) ) ) , 350
EY, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.9 - 35.915844934234876 ) / ( 63.26700000000001 - 35.915844934234876  ) ) ) ) , 350
EY, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.915844934234876 - 35.915844934234876 ) / ( 63.26700000000001 - 35.915844934234876  ) ) ) ) , 350
MT, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.3 - 35.388581265974466 ) / ( 70.634 - 35.388581265974466  ) ) ) ) , 349
MT, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 35.388581265974466 - 35.388581265974466 ) / ( 70.634 - 35.388581265974466  ) ) ) ) , 350
PI, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.0 - 33.06900765661565 ) / ( 74.7 - 33.06900765661565  ) ) ) ) , 349
PI, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 33.06900765661565 - 33.06900765661565 ) / ( 74.7 - 33.06900765661565  ) ) ) ) , 350
TF, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 32.2 - 32.2092179761368 ) / ( 57.26700000000001 - 32.2092179761368  ) ) ) ) , 350
TF, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 32.2092179761368 - 32.2092179761368 ) / ( 57.26700000000001 - 32.2092179761368  ) ) ) ) , 350
XE, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.3 - 30.37737164105528 ) / ( 67.23400000000001 - 30.37737164105528  ) ) ) ) , 349
XE, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 30.37737164105528 - 30.37737164105528 ) / ( 67.23400000000001 - 30.37737164105528  ) ) ) ) , 350
XL, Math.round( ( SQ + ( ST - SQ ) * ( ( genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 32.6 - 32.65796595262264 ) / ( 62.30363636363636 - 32.65796595262264  ) ) ) ) , 349
XL, Math.round( ( SQ + ( ST - SQ ) * ( ( _genCutOff  - mQ ) / ( mTBar - mQ  ) ) ) ) , Math.round( ( 350 + (900 - 350 ) * ( ( 32.65796595262264 - 32.65796595262264 ) / ( 62.30363636363636 - 32.65796595262264  ) ) ) ) , 350
